,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2015-01-07,12.601398706436157,-1.8938583709252053,-0.00030079294835800316,0.012461165764721782,1.3457589279337017,-0.017070518028694137,-0.02114282084935256,-0.008541194560429101,-0.017397112994944376,-0.034168436514145736,-0.01958521399925123,0.009162176354234951,-0.027244807876944725
2015-01-08,12.709197044372559,-1.8426989809745942,0.039402247514442504,0.017745026845995993,1.341042172725665,0.015605418157812783,0.038964683546505514,-0.0006513788220758425,0.007533541171249193,0.013617155339841383,0.01845176893187316,0.009924412982804918,0.027263641083500472
2015-01-09,12.531598329544067,-1.8712576963541532,-0.024491765541086615,-0.00801356942882625,1.4188640331175288,-0.01312160010163487,-0.0177504357693134,-0.017011035254001362,-0.008757935809052951,-0.01733861314928377,0.000662111545349793,0.0019895126535874608,-0.012809365771228475
2015-01-12,12.773399829864502,-1.784299566733732,-0.03516167086166611,-0.00783356721427475,1.4455486431117262,-0.023837868404346742,-0.016572027824815976,-0.0237371044312088,-0.03165172434278324,-0.032607442459446606,-0.00803675377043585,-0.013340475978784384,-0.030360970424781412
2015-01-13,12.490000009536743,-1.8431717086047663,-0.04173684484304463,-0.002812692240794501,1.4659278793043504,-0.037613640871360945,-0.02647306543351537,-0.04940131389603038,-0.03759046248474739,-0.04562116791149803,-0.02424651050125419,-0.01889247279980924,-0.050567289231693714
2015-01-14,12.512401103973389,-1.818172392193973,-0.030076376449404085,-0.006037218970945446,1.5171987477763293,-0.020916715386634154,-0.015966152320360333,-0.03100516041186775,-0.022647199644590468,-0.026314724021996163,0.00018291092566969334,-0.012375523001788739,-0.005419685728479107
2015-01-15,12.859398603439331,-1.7057951459230443,-0.01509830102685029,-0.009160591119682593,1.5406953235650827,-0.0009846211276634959,-0.005489881124003853,0.0041256628328296945,0.011255966972880563,-0.027294192939133773,-0.02336080654639735,0.021833302657896056,-0.013035276195033071
2015-01-16,12.67480206489563,-1.7392531074407935,0.026147482138410484,0.013114262658634246,1.530755438923255,0.006072753246237968,0.013095305987474399,-0.010747876194833996,0.005580285905915815,0.003988557608152036,0.043955678226814454,0.032296973487870695,-0.002413280499011041
2015-01-20,13.140802383422852,-1.5966906334464335,0.03262471593164917,0.0021325827772069594,1.4536148294043862,0.029524761981768746,0.021765811117593296,0.03394124419346983,0.04222598453186257,0.035544402899715395,0.005170424032342571,0.0047613751470818155,0.019809435441891253
2015-01-21,12.383601188659668,-1.784474421631149,0.019396304841536403,0.005048026748417422,1.4558873261055119,0.01204694667667386,0.008183915175507723,-0.000370668652805369,0.032661597355046784,-0.007063695957008795,0.029618996743125937,0.010001335022733208,0.013071774292889988
2015-01-22,13.883000135421753,-1.3649255319531897,0.02538568998776204,0.014871007707461636,1.4814128988661384,0.0033555873507906085,-0.0025213301576770576,0.01665270666123099,-0.010452118891004756,0.010660577620962126,0.015650643658173567,0.01666307857486801,-0.0049194185218995636
2015-01-23,15.20500111579895,-0.999268183006015,0.03279228682468876,-0.005482798880874107,1.5009758583064865,0.04102183558083061,0.052195387582953584,0.045902400823711706,0.02764237978845703,0.03696773383365434,0.04026845920462156,0.0433414084039932,0.03419053536507714
2015-01-26,14.674797296524048,-1.133850294324158,0.009602533868988367,0.0023417852596987476,1.4333338594544374,0.006245973764690849,0.017658916713465856,0.008597015861517295,-0.005757250098986564,0.008562800057458242,-0.0009639223580798681,0.004277773767692287,0.0019866113893051303
2015-01-27,14.852000951766968,-1.0778877438154686,0.007079797865832982,-0.013190515917899215,1.3941267207848251,0.02546904856791385,0.016735809405032092,0.023156030446420842,0.03971683070662124,0.0194474073349019,0.02296299023830581,0.015568839360767833,0.03391097429902872
