scheme,cum_pnl,ann_ret,sharpe,sortino,max_dd_pct,calmar,n,hit_rate,txn_cost,num_trades
OLD,3.4171697099590332,0.004202668457343475,0.06747787649716777,0.056520012816040396,-0.1863437228094295,0.022553313811603255,2049,0.5220994475138122,15.957500000000026,14343
NEW,34.21760325241446,0.04208314309228134,0.1573780386760237,0.188924023190528,-0.5131667594873499,0.0820067596239517,2049,0.5176478794642857,89.79695401820041,14343
NEW_CAP,52.08307752285365,0.06405532228286538,0.3043662592892207,0.3951984337792203,-0.43129033408805306,0.14852018981206225,2049,0.5176478794642857,79.52485469877372,14343
DET,87.70302668999548,0.1078631660609022,0.44317005747877264,0.6437479369957153,-0.5413470963753215,0.19924955131950972,2049,0.508798265365691,45.9007552536516,14343
ENS_VETO,70.20183541871225,0.08633900695712779,0.5106005092821558,0.6772099296894707,-0.27671278317803155,0.31201669097296086,2049,0.5241958041958042,51.98424483988649,14343
ENS_AVG,72.14015790127527,0.0887228881948334,0.44166384636335526,0.5666927638584578,-0.3805409474796093,0.23314938584785933,2049,0.5211927794953625,64.51942918261885,14343
