scheme,txn_cost_bps_rt,borrow_bps,ann_ret,sharpe,max_dd_pct,edge_vs_spy_pp
DET,10,0,0.20495055880413268,0.6761626839619675,-0.5812394321888069,7.280954110368043
DET,10,50,0.2032344423375744,0.6704963234960377,-0.582584121163102,7.109342463712215
DET,15,0,0.17692188754902424,0.5836759927080214,-0.6007188075458341,4.4780869848572
DET,15,50,0.17520577108246613,0.5780108647593148,-0.6020010341586679,4.306475338201388
DET,20,0,0.14889321629391505,0.4911463380263073,-0.6193002095322029,1.6752198593462801
DET,20,50,0.14717709982735735,0.48548285601224234,-0.6205228491502153,1.5036082126905104
DET,25,0,0.12086454503880566,0.3986008709095394,-0.6370246581882384,-1.1276472661646595
DET,25,50,0.11914842857224815,0.3929394469576594,-0.6381904550150654,-1.29925891282041
ENS_VETO,10,0,0.21488035921400445,0.9205685784855919,-0.31521528907868956,8.273934151355219
ENS_VETO,10,50,0.21394098751725182,0.9165346683947343,-0.3161352812246698,8.179996981679958
ENS_VETO,15,0,0.18742292005559807,0.8028911887068597,-0.33789255488255043,5.528190235514582
ENS_VETO,15,50,0.18648354835884534,0.7988586715017485,-0.3387866360214626,5.434253065839309
ENS_VETO,20,0,0.1599654808971928,0.6851754498363979,-0.36028341648735046,2.7824463196740563
ENS_VETO,20,50,0.1590261092004405,0.6811446534225672,-0.3611473639528329,2.6885091499988247
ENS_VETO,25,0,0.13250804173878664,0.5674482560764552,-0.38892663496570407,0.03670240383343848
ENS_VETO,25,50,0.1315686700420341,0.5634195071560179,-0.3902579722917308,-0.057234765841815416
ENS_AVG,10,0,0.12749205124231072,0.5230829725410558,-0.42899732208594127,-0.4648966458141529
ENS_AVG,10,50,0.12630742498748634,0.5182154055769796,-0.4299251160187511,-0.5833592712965907
ENS_AVG,15,0,0.09637199237238202,0.39519541327100954,-0.4494415627876264,-3.5769025328070234
ENS_AVG,15,50,0.09518736611755799,0.39033213203497685,-0.4503362508751692,-3.6953651582894267
ENS_AVG,20,0,0.06525193350245433,0.26741816219382664,-0.47884376680530516,-6.688908419799793
ENS_AVG,20,50,0.0640673072476302,0.2625595958819357,-0.4801738119410985,-6.807371045282205
ENS_AVG,25,0,0.03413187463252525,0.139783890180342,-0.5545642881943096,-9.8009143067927
ENS_AVG,25,50,0.03294724837770102,0.13493046426902702,-0.5585058894333244,-9.919376932275123
NEW_CAP,10,0,0.10494974034820408,0.4152016313456785,-0.5407782613948948,-2.7191277352248173
NEW_CAP,10,50,0.10372405165505498,0.4103472651770112,-0.5433309946743022,-2.841696604539727
NEW_CAP,15,0,0.06822740730946311,0.2698097375799329,-0.6129296545375824,-6.391361039098914
NEW_CAP,15,50,0.0670017186163141,0.26495926820770427,-0.6150816418513045,-6.513929908413815
NEW_CAP,20,0,0.03150507427072131,0.12452569832961677,-0.6737629025050785,-10.063594342973095
NEW_CAP,20,50,0.030279385577573106,0.1196795624414603,-0.6755769555837742,-10.186163212287914
NEW_CAP,25,0,-0.005217258768019912,-0.020609116119440725,-0.7250506154678916,-13.735827646847214
NEW_CAP,25,50,-0.006442947461168058,-0.0254504854446845,-0.7265797168139136,-13.858396516162031
